state_abb,state_name,contributor,population_2022,avg_household_income_2022,median_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr,,,,,,,,,,,,,
NE,Nebraska,Connor Broderick,"1,967,000.00","95,547.00","71,722.00","76,796.00",Lincoln,"161,702,000,000.00",2.70,Manufacturing,Agriculture,Finance,1867,,,,,,,,,,,,,
NV,Nevada,Connor Broderick,"3,178,000.00","72,330.00","71,646.00","109,831.00",Carson City,"187,230,000,000.00",5.50,Real Estate,Accommodation and Food Services,Healthcare,1864,,,,,,,,,,,,,
NH,New Hampshire,Connor Broderick,"1,395,000.00","118,118.00","90,845.00","8,951.00",Concord,"90,150,000,000.00",2.90,Real Estate,Manufacturing,Healthcare,1788,,,,,,,,,,,,,
NJ,New Jersey,Max Musial,"9,260,000.00","135,170.00","92,340.00","7,352.90",Trenton,"581,700,000,000.00",3.30,Life Sciences,Technology,Clean Energy ,1787,,,,,,,,,,,,,
NM,New Mexico,Max Musial,"2,110,000.00","81,035.00","56,420.00","121,697.00",Santa Fe,"94,660,000,000.00",3.50,Energy,Aerospace,Defense,1912,,,,,,,,,,,,,
NY,New York,Max Musial,"19,673,200.00","80,751.00","75,910.00","54,556.00",Albany,"2,053,179,700,000.00",4.30,Financial Services,Entertainment,Retail,1788,,,,,,,,,,,,,
NC,North Carolina,Cristian Sayers,"10,695,965.00","93,244.59","65,070.00","53,819.00",Raleigh,"730,072,400,000.00",3.70,Aerospace,Automotive,Biotechnology,1789,,,,,,,,,,,,,
ND,North Dakota,Mohammad Atohmoshli,"770,026.00","63,837.00","61,354.00","70,698.00",Bismarck,"60,000,000,000.00",2.30,Agriculture,Energy,Technology,1889,,,,,,,,,,,,,
OH,Ohio,Bryce Beardsley,"11,760,000.00","90,958.00","66,990.00","40,848.00",Columbus,"822,670,000,000.00",4.10,Manufacturing,Agriculture,Automotive,1803,,,,,,,,,,,,,","
OK,Oklahoma,Bryce Beardsley,"4,019,271.00","84,402.00","61,364.00","69,895.00",Oklahoma City,"240,534,300,000.00",3.20,Oil Drilling,Gasoline Wholesaling,Hospitals,1907,,,,,,,,,,,,,
OR,Oregon,Bryce Beardsley,"4,240,000.00","76,632.00","86,780.00","95,962.00",Salem,"234,810,000,000.00",4.80,Health Insurance,Hospitals,Manufacturing,1859,,,,,,,,,,,,,
PA,Pennsylvania,Eduardo Cury,"12,972,091.00","104,608.43","72,210.00","46,054.00",Harrisburg,"923,088,800,000.00",4.40,Food Processing,Industrial Machinery,Fabricated Metals,1787,,,,,,,,,,,,,
RI,Rhode Island,Stephanie Gentile,"1,093,734.00","81,370.00","80,650.00","1,214.00",Providence,"55,410,000,000.00",3.20,Agriculture,Fishing,Manufacturing,1790,,,,,,,,,,,,,
SC,South Carolina,Cristian Sayers,"5,282,955.00","88,909.64","61,770.00","32,020.00",Columbia,"295,880,500,000.00",3.20,Agriculture,Tourism,Automotive,1788,,,,,,,,,,,,,
SD,South Dakota,Eduardo Cury,"909,869.00","90,706.00","69,457.00","75,789.60",Pierre,"67,570,700,000.00",2.20,Agriculture,Mining and Power,Manufacturing,1889,,,,,,,,,,,,,
TN,Tennessee,Shane Kanterman,"7,048,976.00","89,627.00","64,035.00","41,227.10",Nashville,"367,780,000,000.00",3.50,Healthcare,Retail,Manufacturing,1796,,,,,,,,,,,,,
TX,Texas,Shane Kanterman,"30,029,572.00","102,197.00","73,035.00","268,193.90",Austin,"2,355,959,700,000.00",3.80,Mining,Quarrying,Oil and Gas,1845,,,,,,,,,,,,,
UT,Utah,Shane Kanterman,"3,381,236.00","111,416.00","86,833.00","84,899.00",Salt Lake City,"213,900,000,000.00",2.30,Financial,Transportation,Utililties,1896,,,,,,,,,,,,,
VT,Vermont,Brady Evon,"646,000.00","72,190.00","72,190.00","9,215.40",Montpelier,"31,400,000,000.00",2.60,Agriculture,Forestry,Tourism,1791,,,,,,,,,,,,,
VA,Virginia,Brady Evon,"8,670,000.00","85,170.00","85,170.00","39,471.70",Richmond,"512,950,000,000.00",2.90,Service,Technology,Agriculture,1788,,,,,,,,,,,,,
WA,Washington,Brady Evon,"7,900,000.00","89,430.00","89,430.00","71,362.00",Olympia,"641,000,000,000.00",4.20,Food and Agriculture,Aerospace,Construction,1889,,,,,,,,,,,,,
WV,West Virginia,Elliott Schemm,"1,774,035.00","75,575.00","52,460.00","24,038.00",Charleston,"71,700,000,000.00",4.10,Mining,Manufacturing,Agriculture,1863,,,,,,,,,,,,,
WI,Wisonnsin ,Elliott Schemm,"5,890,000.00","94,995.00","73,330.00","65,498.00",Madison,"311,700,000,000.00",3.00,Manufacturing,Agriculture,Healthcare,1848,,,,,,,,,,,,,
WY,Wyoming,Elliott Schemm,"581,629.00","94,900.00","72,495.00","97,813.00",Cheyenne,"36,350,000,000.00",3.90,Mining,Real estate,Rental/Leasing,1890,,,,,,,,,,,,,
